split,candidate_id,fraction,seed,checkpoint_selection,metric,sign_only,full,full_improvement
validation,baseline,1.0,41,structure,relative_configuration_accuracy,0.919,0.915,-0.0040000000000000036
validation,baseline,1.0,41,structure,relative_sign_accuracy,0.9612000045776368,0.9600000076293945,-0.0011999969482422435
validation,baseline,1.0,41,total,loss_global_sign,0.34561516451835633,0.3483570759296417,-0.0027419114112853804
validation,baseline,1.0,41,total,loss_magnitude,0.07286872959136963,0.07351794737577438,-0.000649217784404757
validation,baseline,1.0,41,total,loss_position,0.45602763891220094,0.4635216920375824,-0.0074940531253814835
validation,baseline,1.0,41,total,loss_relative_sign,0.061768150627613067,0.06387830966711044,-0.002110159039497378
validation,baseline,1.0,41,total,loss_structure,0.5906645221710205,0.6009179449081421,-0.010253422737121598
validation,baseline,1.0,41,total,loss_total,0.9362796866893768,0.9492750208377838,-0.012995334148407034
validation,baseline,1.0,41,total,absolute_sign_accuracy,0.8806000137329102,0.8736000061035156,-0.007000007629394567
validation,baseline,1.0,41,total,absolute_sign_set_accuracy,0.842,0.833,-0.009000000000000008
validation,baseline,1.0,41,total,charge_mae,0.2821016960144043,0.29332593154907227,-0.011224235534667948
validation,baseline,1.0,41,total,charge_magnitude_mae,0.15328179359436034,0.1537076473236084,-0.00042585372924805465
validation,baseline,1.0,41,total,global_invariant_charge_mae,0.1856759090423584,0.18759724044799805,-0.001921331405639659
validation,baseline,1.0,41,total,global_sign_accuracy,0.857,0.856,-0.0010000000000000009
validation,baseline,1.0,41,total,global_sign_bce,0.345615161895752,0.34835707473754884,-0.0027419128417968675
validation,baseline,1.0,41,total,mean_position_3d_error,0.7451625061035156,0.7548253479003906,-0.009662841796874932
validation,baseline,1.0,41,total,mean_position_mae,0.3659396247863769,0.3704276275634766,-0.004488002777099653
validation,baseline,1.0,41,total,observations_per_sample,32.0,32.0,0.0
validation,baseline,1.0,41,total,observed_sample_fraction,1.0,1.0,0.0
validation,baseline,1.0,41,total,pairwise_relative_sign_accuracy,0.954599983215332,0.9520000152587891,-0.0025999679565429368
validation,baseline,1.0,41,total,position_mae_x,0.4497040710449219,0.45509666061401366,-0.005392589569091777
validation,baseline,1.0,41,total,position_mae_y,0.42625172424316404,0.43370882415771483,-0.007457099914550791
validation,baseline,1.0,41,total,position_mae_z,0.22186301994323732,0.22247735595703125,-0.0006143360137939313
validation,baseline,1.0,41,total,relative_configuration_accuracy,0.919,0.915,-0.0040000000000000036
validation,baseline,1.0,41,total,relative_sign_accuracy,0.9612000045776368,0.9600000076293945,-0.0011999969482422435
validation,baseline,1.0,42,structure,loss_global_sign,0.34910545086860656,0.3471103839874268,0.0019950668811797856
validation,baseline,1.0,42,structure,loss_magnitude,0.07530006521940232,0.07461936646699906,0.0006806987524032582
validation,baseline,1.0,42,structure,loss_position,0.46072743344306943,0.47133282899856566,-0.010605395555496222
validation,baseline,1.0,42,structure,loss_relative_sign,0.06493445384502411,0.06275699877738952,0.002177455067634587
validation,baseline,1.0,42,structure,loss_structure,0.6009619393348694,0.6087091903686523,-0.0077472510337829315
validation,baseline,1.0,42,structure,loss_total,0.950067390203476,0.9558195743560791,-0.005752184152603146
validation,baseline,1.0,42,structure,absolute_sign_accuracy,0.8686000061035156,0.8737999801635742,0.005199974060058565
validation,baseline,1.0,42,structure,absolute_sign_set_accuracy,0.832,0.831,-0.0010000000000000009
validation,baseline,1.0,42,structure,charge_mae,0.2972998046875,0.29490615463256836,0.0023936500549316397
validation,baseline,1.0,42,structure,charge_magnitude_mae,0.15574238395690918,0.15526732063293458,0.00047506332397459494
validation,baseline,1.0,42,structure,global_invariant_charge_mae,0.18798015213012695,0.19057730293273925,-0.0025971508026123025
validation,baseline,1.0,42,structure,global_sign_accuracy,0.859,0.857,-0.0020000000000000018
