protocol_fingerprint,checkpoint_selection,selection_objective,model_a,model_b,g05_fraction,g05_count_per_sample,metric,metric_role,global_sign_in_selection_objective,global_sign_metrics_note,improvement_definition,paired_seed_count,paired_seeds,delta_mean,delta_std,improvement_mean,improvement_std
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,absolute_sign_set_accuracy,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,-0.016000000000000014,,-0.016000000000000014,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,charge_mae,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.013598215103149403,,-0.013598215103149403,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,charge_magnitude_mae,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.0006754856109618956,,-0.0006754856109618956,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,global_invariant_charge_mae,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.006088380813598637,,-0.006088380813598637,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,global_sign_accuracy,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.0,,0.0,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,global_sign_bce,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.003419723510742212,,-0.003419723510742212,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,mean_position_3d_error,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.007761672973632838,,-0.007761672973632838,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,mean_position_mae,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.003470294952392594,,-0.003470294952392594,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,pairwise_relative_sign_accuracy,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,-0.005799995422363313,,-0.005799995422363313,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,position_mae_x,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.016829845428466828,,-0.016829845428466828,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,position_mae_y,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,-0.010758071899414079,,0.010758071899414079,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,position_mae_z,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,0.004339113235473618,,-0.004339113235473618,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,relative_configuration_accuracy,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,-0.01100000000000001,,-0.01100000000000001,
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,relative_sign_accuracy,primary,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better,1,41,-0.006000015258789015,,-0.006000015258789015,
