protocol_fingerprint,checkpoint_selection,selection_objective,model_a,model_b,g05_fraction,g05_count_per_sample,metric,seed,metric_role,value_a,value_b,delta_b_minus_a,improvement_b_over_a,selected_epoch_a,selected_epoch_b,selected_validation_loss_a,selected_validation_loss_b,run_fingerprint_a,run_fingerprint_b,global_sign_in_selection_objective,global_sign_metrics_note,improvement_definition
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.75,24,global_sign_bce,41,secondary,0.3423290786743164,0.3457488021850586,0.003419723510742212,-0.003419723510742212,37,34,0.5906645221710205,0.602596776008606,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.75,24,absolute_sign_accuracy,41,secondary,0.8849999923706054,0.8757999877929687,-0.0092000045776367,-0.0092000045776367,37,34,0.5906645221710205,0.602596776008606,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.75,24,absolute_sign_set_accuracy,41,secondary,0.847,0.831,-0.016000000000000014,-0.016000000000000014,37,34,0.5906645221710205,0.602596776008606,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.75,24,charge_mae,41,secondary,0.2811718349456787,0.2947700500488281,0.013598215103149403,-0.013598215103149403,37,34,0.5906645221710205,0.602596776008606,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.75,24,global_invariant_charge_mae,41,secondary,0.190864803314209,0.19695318412780763,0.006088380813598637,-0.006088380813598637,37,34,0.5906645221710205,0.602596776008606,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,position_mae_x,41,primary,0.44510287857055664,0.46193272399902346,0.016829845428466828,-0.016829845428466828,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,position_mae_y,41,primary,0.4149129676818848,0.4041548957824707,-0.010758071899414079,0.010758071899414079,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,position_mae_z,41,primary,0.2198362216949463,0.2241753349304199,0.004339113235473618,-0.004339113235473618,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,mean_position_mae,41,primary,0.35995068740844727,0.36342098236083986,0.003470294952392594,-0.003470294952392594,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,mean_position_3d_error,41,primary,0.7332424392700195,0.7410041122436524,0.007761672973632838,-0.007761672973632838,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,charge_magnitude_mae,41,primary,0.15552459526062012,0.15620008087158202,0.0006754856109618956,-0.0006754856109618956,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,relative_sign_accuracy,41,primary,0.9627999954223633,0.9567999801635743,-0.006000015258789015,-0.006000015258789015,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,relative_configuration_accuracy,41,primary,0.915,0.904,-0.01100000000000001,-0.01100000000000001,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,pairwise_relative_sign_accuracy,41,primary,0.9506000213623047,0.9448000259399414,-0.005799995422363313,-0.005799995422363313,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,global_sign_accuracy,41,primary,0.867,0.867,0.0,0.0,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,global_sign_bce,41,primary,0.3423290786743164,0.3457488021850586,0.003419723510742212,-0.003419723510742212,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,absolute_sign_accuracy,41,primary,0.8849999923706054,0.8757999877929687,-0.0092000045776367,-0.0092000045776367,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,absolute_sign_set_accuracy,41,primary,0.847,0.831,-0.016000000000000014,-0.016000000000000014,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,charge_mae,41,primary,0.2811718349456787,0.2947700500488281,0.013598215103149403,-0.013598215103149403,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,total,validation_loss.total,g05_sign_only,g05_full_reconstruction,0.75,24,global_invariant_charge_mae,41,primary,0.190864803314209,0.19695318412780763,0.006088380813598637,-0.006088380813598637,37,34,0.936997935295105,0.9480395393371581,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,positive means g05_full_reconstruction is better
