protocol_fingerprint,checkpoint_selection,model,g05_fraction,g05_count_per_sample,run_count,seeds,selected_epochs_by_seed,selected_validation_losses_by_seed,run_fingerprints_by_seed,global_sign_in_selection_objective,global_sign_metrics_note,position_mae_x_count,position_mae_x_mean,position_mae_x_std,position_mae_y_count,position_mae_y_mean,position_mae_y_std,position_mae_z_count,position_mae_z_mean,position_mae_z_std,mean_position_mae_count,mean_position_mae_mean,mean_position_mae_std,mean_position_3d_error_count,mean_position_3d_error_mean,mean_position_3d_error_std,charge_magnitude_mae_count,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_count,relative_sign_accuracy_mean,relative_sign_accuracy_std,relative_configuration_accuracy_count,relative_configuration_accuracy_mean,relative_configuration_accuracy_std,pairwise_relative_sign_accuracy_count,pairwise_relative_sign_accuracy_mean,pairwise_relative_sign_accuracy_std,global_sign_accuracy_count,global_sign_accuracy_mean,global_sign_accuracy_std,global_sign_bce_count,global_sign_bce_mean,global_sign_bce_std,absolute_sign_accuracy_count,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,absolute_sign_set_accuracy_count,absolute_sign_set_accuracy_mean,absolute_sign_set_accuracy_std,charge_mae_count,charge_mae_mean,charge_mae_std,global_invariant_charge_mae_count,global_invariant_charge_mae_mean,global_invariant_charge_mae_std
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,g05_sign_only,0.75,24,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""5486e0c87ecc2da443e09a1abdbf0e71c5506785933d1dd051820c3d02956d51""}",False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.879,,1,0.3342213249206543,,1,0.893,,1,0.85,,1,0.2761736145019531,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,g05_sign_only,1.0,32,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""e892a01e209ddd8a094813655a39438a1563639d97adb57d9ce1a8a55b956bf7""}",False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.871,,1,0.332178279876709,,1,0.8866000061035156,,1,0.843,,1,0.2836688289642334,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_full_reconstruction,0.0,0,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""158085b2afb91b8e7db13fb375317de39254b445730c77a4df54843cb2bf7e5e""}",False,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,0,,,0,,,0,,,0,,,1,0.19724883460998535,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_full_reconstruction,0.1,3,1,43,"{""43"":29}","{""43"":0.9713646416664123}","{""43"":""83c4fe9e3c8a8cecacc9e17e6457bf98e16d3566dcf39ad8dff478ac0a048322""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44332362365722655,,1,0.4461059989929199,,1,0.2233663558959961,,1,0.37093201065063475,,1,0.7574405746459961,,1,0.15662462425231932,,1,0.9572000045776368,,1,0.908,,1,0.9477999954223633,,1,0.852,,1,0.3691210708618164,,1,0.8676000061035156,,1,0.824,,1,0.30387536239624025,,1,0.19459290313720704,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_full_reconstruction,0.25,8,1,43,"{""43"":29}","{""43"":0.9537390437126159}","{""43"":""93931b2938c5f93a61df66c5de9c99150ba16cd794d7c7db76885b4e93db336b""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44799478912353513,,1,0.4492935676574707,,1,0.22292701530456543,,1,0.3734051399230957,,1,0.7632284317016601,,1,0.1567006893157959,,1,0.9551999893188476,,1,0.904,,1,0.9455999984741211,,1,0.87,,1,0.3533282356262207,,1,0.8883999938964844,,1,0.842,,1,0.2793896141052246,,1,0.1968803291320801,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_full_reconstruction,0.5,16,1,43,"{""43"":41}","{""43"":0.9489210312366486}","{""43"":""e82b62d31462a2e6e82b69a9f780155e1fcd32943c79e86658a6a2d88fefc7c3""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44415258026123045,,1,0.4422540626525879,,1,0.21934764099121093,,1,0.3685847625732422,,1,0.7532633972167969,,1,0.15680460739135743,,1,0.9591999893188476,,1,0.911,,1,0.9491999969482422,,1,0.875,,1,0.33621891021728517,,1,0.887000015258789,,1,0.846,,1,0.281919376373291,,1,0.1940133285522461,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_full_reconstruction,0.75,24,1,43,"{""43"":36}","{""43"":0.9503707411289215}","{""43"":""4b2cdbef01da5fc77357aa1aa366c8ca34e84cd815ba7711b1838c0d60813279""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4514920654296875,,1,0.4476106948852539,,1,0.22177762603759765,,1,0.3736267967224121,,1,0.7605389175415039,,1,0.1562613410949707,,1,0.9587999877929687,,1,0.91,,1,0.9486000061035156,,1,0.875,,1,0.336909610748291,,1,0.8833999938964844,,1,0.843,,1,0.28507897186279296,,1,0.19325004005432128,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_full_reconstruction,1.0,32,1,43,"{""43"":26}","{""43"":0.9486440725326539}","{""43"":""341850cff09aac272cb72f0e41ec356f8ab7b83be9d6c6160b439b3e75d2ad92""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44576039505004883,,1,0.4478859405517578,,1,0.22184802436828613,,1,0.37183147048950194,,1,0.7598246459960938,,1,0.15529882049560548,,1,0.9632000045776368,,1,0.918,,1,0.9527999877929687,,1,0.871,,1,0.33680766296386716,,1,0.8886000061035156,,1,0.852,,1,0.2787014503479004,,1,0.18934203720092774,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_sign_only,0.0,0,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""d02e35e47e020ba4242d7c1429680c6870633c378228300fa9ac1478754ba240""}",False,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,0,,,0,,,0,,,0,,,1,0.19724883460998535,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_sign_only,0.1,3,1,43,"{""43"":31}","{""43"":0.9757132153511048}","{""43"":""c5ad8eb2cde7d178ecdfe7ed63584322cf0b33ddf5bbc7db7699b15a930c7bf6""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.853,,1,0.36530050277709963,,1,0.8678000030517579,,1,0.824,,1,0.3057953987121582,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_sign_only,0.25,8,1,43,"{""43"":31}","{""43"":0.9594545781612396}","{""43"":""b9e9775e1b4e99dcf33c46a472acc6a5069de1a66a37759a5a3d3fd1f77558d8""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.864,,1,0.3517534828186035,,1,0.8804000015258789,,1,0.837,,1,0.2910685920715332,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_sign_only,0.5,16,1,43,"{""43"":31}","{""43"":0.9505535707473755}","{""43"":""7f3c637fd64ae794202989f993bb22d1a486a6d94af2ef6a46ac1abf764fc7c8""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.864,,1,0.3409062690734863,,1,0.8796000061035156,,1,0.837,,1,0.29180274391174316,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_sign_only,0.75,24,1,43,"{""43"":31}","{""43"":0.9457412340641022}","{""43"":""5486e0c87ecc2da443e09a1abdbf0e71c5506785933d1dd051820c3d02956d51""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.879,,1,0.3342213249206543,,1,0.893,,1,0.85,,1,0.2761736145019531,,1,0.19724883460998535,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,total,g05_sign_only,1.0,32,1,43,"{""43"":31}","{""43"":0.9406301028728485}","{""43"":""e892a01e209ddd8a094813655a39438a1563639d97adb57d9ce1a8a55b956bf7""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.871,,1,0.332178279876709,,1,0.8866000061035156,,1,0.843,,1,0.2836688289642334,,1,0.19724883460998535,
