protocol_version,protocol_fingerprint,run_fingerprint,run_id,model_name,charge_count,g05_fraction,g05_count_per_sample,seed,model,checkpoint_selection,selection_objective,selected_epoch,selected_validation_loss,selected_validation_global_sign,selected_validation_magnitude,selected_validation_position,selected_validation_relative_sign,selected_validation_structure,selected_validation_total,global_sign_in_selection_objective,global_sign_metrics_note,primary_metrics,parameter_count,epochs_completed,elapsed_seconds,checkpoint_path,absolute_sign_accuracy,absolute_sign_set_accuracy,charge_mae,charge_magnitude_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,mean_position_3d_error,mean_position_mae,observations_per_sample,observed_sample_fraction,pairwise_relative_sign_accuracy,position_mae_x,position_mae_y,position_mae_z,relative_configuration_accuracy,relative_sign_accuracy
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,d55cbe85d9a9b6b086c7f796307da81375d9ac53379632199b64c6a481f0cba2,g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9,g05_sign_only,5,0.75,24,41,g05_sign_only,structure,validation_loss.structure,37,0.5906645221710205,0.3463334131240845,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.936997935295105,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy""]",406969,300,177.9374378999928,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9\best_structure.pt,0.885,0.847,0.2811720142364502,0.15552479934692381,0.19086493301391602,0.867,0.34232909393310545,0.7332394638061523,0.35994944763183595,24.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,47b3174b2f652a11ce0070b207812d8402a0b11b747b285bb57f8dbd1f130622,g05_sign_only__g05_100pct__seed_41__47b3174b2f65,g05_sign_only,5,1.0,32,41,g05_sign_only,structure,validation_loss.structure,37,0.5906645221710205,0.34561516451835633,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.9362796866893768,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy""]",406969,300,182.8737531000079,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_sign_only__g05_100pct__seed_41__47b3174b2f65\best_structure.pt,0.8828000030517578,0.844,0.28409596824645994,0.15552479934692381,0.19086493301391602,0.864,0.3403714141845703,0.7332394638061523,0.35994944763183595,32.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543,g05_full_reconstruction,5,0.0,0,41,g05_full_reconstruction,total,validation_loss.total,37,0.5906645221710205,,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.5906645221710205,False,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,214.40793220000342,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543\best_total.pt,,,0.19086493301391602,0.15552479934692381,0.19086493301391602,,,0.7332394638061523,0.35994944763183595,0.0,0.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893,g05_full_reconstruction,5,0.1,3,41,g05_full_reconstruction,total,validation_loss.total,37,0.9663254158496857,0.3742412931919098,0.07339407932758331,0.4563860051631928,0.06230403217673302,0.5920841226577759,0.9663254158496857,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,211.05111739999847,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893\best_total.pt,0.8613999938964844,0.818,0.3086505813598633,0.15554253387451172,0.19257705116271973,0.851,0.3639967727661133,0.7362384490966797,0.36147782516479493,3.0,1.0,0.9484000015258789,0.44955273056030276,0.41216368865966796,0.2227170238494873,0.909,0.9575999984741211
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,6b8f65cff0c49a3913bff0c564effbb843b429f5fbde352cb92cbac083a8260f,g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4,g05_full_reconstruction,5,0.25,8,41,g05_full_reconstruction,total,validation_loss.total,37,0.9519158227443695,0.34652917408943174,0.07489126163721084,0.4667649731636047,0.06373041027784347,0.6053866486549377,0.9519158227443695,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,211.2129874999955,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4\best_total.pt,0.8768000030517578,0.83,0.2911668128967285,0.15597239303588867,0.1968714771270752,0.862,0.34903057098388673,0.7452245559692383,0.3648950042724609,8.0,1.0,0.9433999938964843,0.46171228408813475,0.41240371322631836,0.22056898880004883,0.902,0.9564000091552735
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,2e76912911c39b01d6ff4e40ce27742f781297ee8899de83b8ce0cade350b129,g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3,g05_full_reconstruction,5,0.5,16,41,g05_full_reconstruction,total,validation_loss.total,35,0.9726913423538208,0.3543247737884522,0.07301328957080841,0.4764811761379242,0.0688720989227295,0.6183665685653686,0.9726913423538208,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,212.5089616000041,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3\best_total.pt,0.8764000015258789,0.833,0.2942591857910156,0.1563466968536377,0.19571336555480956,0.862,0.34523715209960937,0.7626555862426758,0.3726344871520996,16.0,1.0,0.9463999938964843,0.4741160659790039,0.42466164398193357,0.2191256980895996,0.908,0.96
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,1880b8d860fe4bd6a5ef849cc1d83f74d3806886f50134656ec03d4ff2c18b6f,g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe,g05_full_reconstruction,5,0.75,24,41,g05_full_reconstruction,total,validation_loss.total,34,0.9480395393371581,0.3454427633285522,0.07402025508880615,0.4650387513637543,0.06353777527809143,0.602596776008606,0.9480395393371581,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,212.12022830000205,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe\best_total.pt,0.8758000030517578,0.831,0.29477050399780275,0.15620050430297852,0.19695333671569823,0.867,0.34574879455566404,0.74100244140625,0.3634201507568359,24.0,1.0,0.9448000106811524,0.46193317794799804,0.4041538581848145,0.22417337799072265,0.904,0.9567999877929687
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,acf3506459d6e62455fedcc8350d9ccff12c10b0d636787f2b15c50adf587839,g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6,g05_full_reconstruction,5,1.0,32,41,g05_full_reconstruction,total,validation_loss.total,35,0.9492750208377838,0.3483570759296417,0.07351794737577438,0.4635216920375824,0.06387830966711044,0.6009179449081421,0.9492750208377838,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,310.659885400004,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6\best_total.pt,0.8800000076293946,0.836,0.289014705657959,0.1549491500854492,0.19488438606262207,0.866,0.3399958381652832,0.7555088500976562,0.37058311462402344,32.0,1.0,0.9458000183105468,0.4664375076293945,0.4214212532043457,0.22389054489135743,0.906,0.9579999923706055
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e,g05_sign_only,5,0.0,0,41,g05_sign_only,total,validation_loss.total,37,0.5906645221710205,,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.5906645221710205,False,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,275.43347599999106,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e\best_total.pt,,,0.19086493301391602,0.15552479934692381,0.19086493301391602,,,0.7332394638061523,0.35994944763183595,0.0,0.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633
new-learning9-g05-routing-v1,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,g05_sign_only__g05_010pct__seed_41__10a71341c43e,g05_sign_only,5,0.1,3,41,g05_sign_only,total,validation_loss.total,37,0.9627523696422577,0.3720878474712372,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.9627523696422577,True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,"[""position_mae_x"",""position_mae_y"",""position_mae_z"",""mean_position_mae"",""mean_position_3d_error"",""charge_magnitude_mae"",""relative_sign_accuracy"",""relative_configuration_accuracy"",""pairwise_relative_sign_accuracy"",""global_sign_accuracy"",""global_sign_bce"",""absolute_sign_accuracy"",""absolute_sign_set_accuracy"",""charge_mae"",""global_invariant_charge_mae""]",406969,300,174.49057639999955,C:\Users\COM\Documents\KK-AI\Models\new_learning9_experiments\5point_routing_v1\g05_sign_only__g05_010pct__seed_41__10a71341c43e\best_total.pt,0.8695999984741211,0.831,0.2983264942169189,0.15552479934692381,0.19086493301391602,0.85,0.3634685592651367,0.7332394638061523,0.35994944763183595,3.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633
